Species,Abundance,Accession,label,Data,Taxonomy,wrap,Presence
Ruminococcus sp. ,3.83531412844147,Reference,1,A,Species-level,Species-level Classification,Present
Klebsiella pneumoniae ,3.64891483599685,Reference,2,A,Species-level,Species-level Classification,Present
Paenibacillus macerans,3.37313926173163,Reference,3,A,Species-level,Species-level Classification,Present
Klebsiella aerogenes ,3.36292991951201,Reference,4,A,Species-level,Species-level Classification,Present
Klebsiella variicola,3.30419536816533,Reference,5,A,Species-level,Species-level Classification,Present
Enterococcus pallens,3.08034354916203,Reference,6,A,Species-level,Species-level Classification,Present
Parabacteroides merdae ,2.87351186846311,Reference,7,A,Species-level,Species-level Classification,Present
Haemophilus aegyptius ,2.78328595010879,Reference,8,A,Species-level,Species-level Classification,Present
Citrobacter sp. ,2.43090604965879,Reference,9,A,Species-level,Species-level Classification,Present
Parabacteroides distasonis,2.35005354080544,Reference,10,A,Species-level,Species-level Classification,Present
Haemophilus parainfluenzae ,2.34409238125439,Reference,11,A,Species-level,Species-level Classification,Present
Haemophilus pittmaniae ,2.33898085823705,Reference,12,A,Species-level,Species-level Classification,Present
Klebsiella sp. KTE92,2.27173623773817,Reference,13,A,Species-level,Species-level Classification,Present
Roseburia intestinalis,2.20364198070558,Reference,14,A,Species-level,Species-level Classification,Present
Thermoanaerobacterium xylanolyticum ,2.09725926439565,Reference,15,A,Species-level,Species-level Classification,Present
Neisseria mucosa ,2.0615060109044,Reference,16,A,Species-level,Species-level Classification,Present
Neisseria meningitidis,2.05980673783697,Reference,17,A,Species-level,Species-level Classification,Present
Streptococcus oralis ,1.9244678603055,Reference,18,A,Species-level,Species-level Classification,Present
Eubacterium limosum,1.85126208025557,Reference,19,A,Species-level,Species-level Classification,Present
Leuconostoc lactis,1.81637216711309,Reference,20,A,Species-level,Species-level Classification,Present
Porphyromonas cangingivalis,1.72529661222506,Reference,21,A,Species-level,Species-level Classification,Present
Corynebacterium falsenii ,1.70316495090334,Reference,22,A,Species-level,Species-level Classification,Present
Leuconostoc mesenteroides,1.66316351474352,Reference,23,A,Species-level,Species-level Classification,Present
Ruminococcus bicirculans,1.64188148995551,Reference,24,A,Species-level,Species-level Classification,Present
Lachnoclostridium (Clostridium) symbiosum,1.59591889424464,Reference,25,A,Species-level,Species-level Classification,Present
Bacillus sp. ,1.58910809815988,Reference,26,A,Species-level,Species-level Classification,Present
Ruminococcus albus,1.5840102789576,Reference,27,A,Species-level,Species-level Classification,Present
Corynebacterium camporealensis,1.56612680030444,Reference,28,A,Species-level,Species-level Classification,Present
Enterococcus villorum ,1.55591745808483,Reference,29,A,Species-level,Species-level Classification,Present
Lachnoclostridium (Clostridium) scindens,1.49974552015434,Reference,30,A,Species-level,Species-level Classification,Present
Desulfovibrio sp. ,1.45718147057832,Reference,31,A,Species-level,Species-level Classification,Present
Porphyromonas gingivalis,1.44952103795984,Reference,32,A,Species-level,Species-level Classification,Present
Corynebacterium halotolerans,1.43250089965546,Reference,33,A,Species-level,Species-level Classification,Present
Parabacteroides sp. HGS0025,1.39078648661315,Reference,34,A,Species-level,Species-level Classification,Present
Atopobium sp. ,1.38398939434345,Reference,35,A,Species-level,Species-level Classification,Present
Barnesiella intestinihominis,1.27844261075218,Reference,36,A,Species-level,Species-level Classification,Present
Eubacterium sp.,1.08012099920545,Reference,37,B,Species-level,Species-level Classification,Present
Corynebacterium accolens ,0.958403713843512,Reference,38,A,Species-level,Species-level Classification,Present
Enterobacter asburiae,0.879250478057588,Reference,39,A,Species-level,Species-level Classification,Present
Propionibacterium acidifaciens ,0.878400841523875,Reference,40,A,Species-level,Species-level Classification,Present
Acholeplasma palmae,0.840948314965197,Reference,41,A,Species-level,Species-level Classification,Present
Desulfohalovibrio reitneri ,0.836686428481571,Reference,42,B,Species-level,Species-level Classification,Present
Oceanobacillus massiliensis,0.800933174990318,Reference,43,A,Species-level,Species-level Classification,Present
Atopobium minutum,0.782213763618509,Reference,44,A,Species-level,Species-level Classification,Present
Erysipelatoclostridium ramosum,0.766043261847839,Reference,45,A,Species-level,Species-level Classification,Present
Alistipes communis,0.753271306212022,Reference,46,A,Species-level,Species-level Classification,Present
Bacillus sp. JCM 19059     ,0.751572033144595,Reference,47,A,Species-level,Species-level Classification,Present
Parabacteroides sp.,0.746460510127256,Reference,48,A,Species-level,Species-level Classification,Present
Megasphaera sp.,0.724328848805534,Reference,49,A,Species-level,Species-level Classification,Present
Klebsiella sp. AS10 ,0.723479212271821,Reference,50,A,Species-level,Species-level Classification,Present
Neisseria macacae ,0.719231029603255,Reference,51,A,Species-level,Species-level Classification,Present
Ruminococcus flavefaciens ,0.663045387857707,Reference,52,A,Species-level,Species-level Classification,Present
Veillonella sp.,0.659646841722855,Reference,53,A,Species-level,Species-level Classification,Present
Bifidobacterium asteroides,0.657947568655428,Reference,54,A,Species-level,Species-level Classification,Present
Bacteroides salyersiae,0.638364816934846,Reference,55,A,Species-level,Species-level Classification,Present
Ligilactobacillus agilis ,0.58559142513921,Reference,56,A,Species-level,Species-level Classification,Present
Megasphaera micronuciformis,0.584741788605497,Reference,57,A,Species-level,Species-level Classification,Present
Desulfovibrio brasiliensis,0.574532446385879,Reference,58,A,Species-level,Species-level Classification,Present
Bacteroides acidifaciens,0.56942092336854,Reference,59,A,Species-level,Species-level Classification,Present
Bacteroides intestinalis,0.549851875463018,Reference,60,A,Species-level,Species-level Classification,Present
Acholeplasma modicum,0.537929556360914,Reference,61,A,Species-level,Species-level Classification,Present
Bacteroides xylanisolvens,0.535380646759774,Reference,62,A,Species-level,Species-level Classification,Present
Enterocloster citroniae ,0.52345832765767,Reference,63,A,Species-level,Species-level Classification,Present
Sporobacter termitidis ,0.519210144989104,Reference,64,A,Species-level,Species-level Classification,Present
Peptoniphilus vaginalis,0.497078483667382,Reference,65,A,Species-level,Species-level Classification,Present
Parabacteroides sp. D13 ,0.485156164565278,Reference,66,B,Species-level,Species-level Classification,Present
Propionibacterium cyclohexanicum,0.480907981896712,Reference,67,A,Species-level,Species-level Classification,Present
Parabacteroides faecis,0.472397912744521,Reference,68,A,Species-level,Species-level Classification,Present
Desulfovibrio sp. TomC ,0.465587116659755,Reference,69,A,Species-level,Species-level Classification,Present
Porphyromonas sp. ,0.457926684041277,Reference,70,A,Species-level,Species-level Classification,Present
Alistipes shahii,0.397492859627163,Reference,71,A,Species-level,Species-level Classification,Present
Anaerococcus tetradius,0.374511561771728,Reference,72,A,Species-level,Species-level Classification,Present
Ruminococcus sp. ,1.45020260183408,RiboTaxa,1,B,Species-level,Species-level Classification,Present
Klebsiella pneumoniae ,1.98336532309661,RiboTaxa,2,B,Species-level,Species-level Classification,Present
Paenibacillus macerans,3.6041799957347,RiboTaxa,3,B,Species-level,Species-level Classification,Present
Klebsiella aerogenes ,0.55448923011303,RiboTaxa,4,B,Species-level,Species-level Classification,Present
Klebsiella variicola,0.021326508850501,RiboTaxa,5,B,Species-level,Species-level Classification,Present
Enterococcus pallens,1.57816165493709,RiboTaxa,6,B,Species-level,Species-level Classification,Present
Parabacteroides merdae ,4.71315845596076,RiboTaxa,7,B,Species-level,Species-level Classification,Present
Haemophilus aegyptius ,4.28662827895074,RiboTaxa,8,B,Species-level,Species-level Classification,Present
Citrobacter sp. ,0.341224141608019,RiboTaxa,9,B,Species-level,Species-level Classification,Present
Parabacteroides distasonis,2.19663041160162,RiboTaxa,10,B,Species-level,Species-level Classification,Present
Haemophilus parainfluenzae ,0.490509703561527,RiboTaxa,11,B,Species-level,Species-level Classification,Present
Haemophilus pittmaniae ,1.64214118148859,RiboTaxa,12,B,Species-level,Species-level Classification,Present
Klebsiella sp. KTE92,1.96203881424611,RiboTaxa,13,B,Species-level,Species-level Classification,Present
Roseburia intestinalis,1.8767327788441,RiboTaxa,14,B,Species-level,Species-level Classification,Present
Thermoanaerobacterium xylanolyticum ,2.17530390275112,RiboTaxa,15,B,Species-level,Species-level Classification,Present
Neisseria mucosa ,0.55448923011303,RiboTaxa,16,B,Species-level,Species-level Classification,Present
Neisseria meningitidis,1.57816165493709,RiboTaxa,17,B,Species-level,Species-level Classification,Present
Streptococcus oralis ,0.895713371721049,RiboTaxa,18,B,Species-level,Species-level Classification,Present
Eubacterium limosum,1.02367242482406,RiboTaxa,19,B,Species-level,Species-level Classification,Present
Leuconostoc lactis,1.49285561953508,RiboTaxa,20,B,Species-level,Species-level Classification,Present
Porphyromonas cangingivalis,1.7701002345916,RiboTaxa,21,B,Species-level,Species-level Classification,Present
Corynebacterium falsenii ,2.15397739390062,RiboTaxa,22,B,Species-level,Species-level Classification,Present
Leuconostoc mesenteroides,0.874386862870548,RiboTaxa,23,B,Species-level,Species-level Classification,Present
Ruminococcus bicirculans,1.13030496907656,RiboTaxa,24,B,Species-level,Species-level Classification,Present
Lachnoclostridium (Clostridium) symbiosum,4.37193431435274,RiboTaxa,25,B,Species-level,Species-level Classification,Present
Bacillus sp. ,1.36489656643208,RiboTaxa,26,B,Species-level,Species-level Classification,Present
Ruminococcus albus,2.43122200895713,RiboTaxa,27,B,Species-level,Species-level Classification,Present
Corynebacterium camporealensis,1.7487737257411,RiboTaxa,28,B,Species-level,Species-level Classification,Present
Enterococcus villorum ,0.597142247814033,RiboTaxa,29,B,Species-level,Species-level Classification,Present
Lachnoclostridium (Clostridium) scindens,2.02601834079761,RiboTaxa,30,B,Species-level,Species-level Classification,Present
Desulfovibrio sp. ,1.66346769033909,RiboTaxa,31,B,Species-level,Species-level Classification,Present
Porphyromonas gingivalis,1.51418212838558,RiboTaxa,32,B,Species-level,Species-level Classification,Present
Corynebacterium halotolerans,1.30091703988057,RiboTaxa,33,B,Species-level,Species-level Classification,Present
Parabacteroides sp. HGS0025,0.469183194711026,RiboTaxa,34,B,Species-level,Species-level Classification,Present
Atopobium sp. ,0.426530177010023,RiboTaxa,35,B,Species-level,Species-level Classification,Present
Barnesiella intestinihominis,2.55918106206014,RiboTaxa,36,B,Species-level,Species-level Classification,Present
Eubacterium sp.,4.45724034975475,RiboTaxa,37,B,Species-level,Species-level Classification,Present
Corynebacterium accolens ,0.405203668159522,RiboTaxa,38,B,Species-level,Species-level Classification,Present
Enterobacter asburiae,0.042653017701002,RiboTaxa,39,B,Species-level,Species-level Classification,Present
Propionibacterium acidifaciens ,0.874386862870548,RiboTaxa,40,B,Species-level,Species-level Classification,Present
Acholeplasma palmae,0.767754318618042,RiboTaxa,41,B,Species-level,Species-level Classification,Present
Desulfohalovibrio reitneri ,0.746427809767541,RiboTaxa,42,B,Species-level,Species-level Classification,Present
Oceanobacillus massiliensis,0.277244615056515,RiboTaxa,43,B,Species-level,Species-level Classification,Present
Atopobium minutum,0.511836212412028,RiboTaxa,44,B,Species-level,Species-level Classification,Present
Erysipelatoclostridium ramosum,2.28193644700363,RiboTaxa,45,B,Species-level,Species-level Classification,Present
Alistipes communis,0.490509703561527,RiboTaxa,46,B,Species-level,Species-level Classification,Present
Bacillus sp. JCM 19059     ,2.06867135849861,RiboTaxa,47,B,Species-level,Species-level Classification,Present
Parabacteroides sp.,2.08999786734911,RiboTaxa,48,B,Species-level,Species-level Classification,Present
Megasphaera sp.,0.405203668159522,RiboTaxa,49,B,Species-level,Species-level Classification,Present
Klebsiella sp. AS10 ,2.26060993815312,RiboTaxa,50,B,Species-level,Species-level Classification,Present
Neisseria macacae ,0.533162721262529,RiboTaxa,51,B,Species-level,Species-level Classification,Present
Ruminococcus flavefaciens ,1.40754958413308,RiboTaxa,52,B,Species-level,Species-level Classification,Present
Veillonella sp.,0.319897632757518,RiboTaxa,53,B,Species-level,Species-level Classification,Present
Bifidobacterium asteroides,0.789080827468543,RiboTaxa,54,B,Species-level,Species-level Classification,Present
Bacteroides salyersiae,0.789080827468543,RiboTaxa,55,B,Species-level,Species-level Classification,Present
Ligilactobacillus agilis ,0.55448923011303,RiboTaxa,56,B,Species-level,Species-level Classification,Present
Megasphaera micronuciformis,1.7701002345916,RiboTaxa,57,B,Species-level,Species-level Classification,Present
Desulfovibrio brasiliensis,0.703774792066539,RiboTaxa,58,B,Species-level,Species-level Classification,Present
Bacteroides acidifaciens,0.575815738963532,RiboTaxa,59,B,Species-level,Species-level Classification,Present
Bacteroides intestinalis,0.91703988057155,RiboTaxa,60,B,Species-level,Species-level Classification,Present
Acholeplasma modicum,0.511836212412028,RiboTaxa,61,B,Species-level,Species-level Classification,Present
Bacteroides xylanisolvens,4.84111750906377,RiboTaxa,62,B,Species-level,Species-level Classification,Present
Enterocloster citroniae ,0.36255065045852,RiboTaxa,63,B,Species-level,Species-level Classification,Present
Sporobacter termitidis ,0.597142247814033,RiboTaxa,64,B,Species-level,Species-level Classification,Present
Peptoniphilus vaginalis,0.255918106206014,RiboTaxa,65,B,Species-level,Species-level Classification,Present
Parabacteroides sp. D13 ,0.063979526551504,RiboTaxa,66,B,Species-level,Species-level Classification,Present
Propionibacterium cyclohexanicum,0.447856685860525,RiboTaxa,67,B,Species-level,Species-level Classification,Present
Parabacteroides faecis,2.26060993815312,RiboTaxa,68,B,Species-level,Species-level Classification,Present
Desulfovibrio sp. TomC ,1.27959053103007,RiboTaxa,69,B,Species-level,Species-level Classification,Present
Porphyromonas sp. ,0.746427809767541,RiboTaxa,70,B,Species-level,Species-level Classification,Present
Alistipes shahii,1.57816165493709,RiboTaxa,71,B,Species-level,Species-level Classification,Present
Anaerococcus tetradius,0.191938579654511,RiboTaxa,72,B,Species-level,Species-level Classification,Present
