"Species","Abundance","label","Accession","Data","Taxonomy","wrap","Presence"
"Ruminococcus sp. ","3,83531412844147",1,"Reference","A","Species-level","Species-level Classification","Present"
"Klebsiella pneumoniae ","3,64891483599685",2,"Reference","A","Species-level","Species-level Classification","Present"
"Paenibacillus macerans","3,37313926173163",3,"Reference","A","Species-level","Species-level Classification","Present"
"Klebsiella aerogenes ","3,36292991951201",4,"Reference","A","Species-level","Species-level Classification","Present"
"Klebsiella variicola","3,30419536816533",5,"Reference","A","Species-level","Species-level Classification","Present"
"Enterococcus pallens","3,08034354916203",6,"Reference","A","Species-level","Species-level Classification","Present"
"Parabacteroides merdae ","2,87351186846311",7,"Reference","A","Species-level","Species-level Classification","Present"
"Haemophilus aegyptius ","2,78328595010879",8,"Reference","A","Species-level","Species-level Classification","Present"
"Citrobacter sp. ","2,43090604965879",9,"Reference","A","Species-level","Species-level Classification","Present"
"Parabacteroides distasonis","2,35005354080544",10,"Reference","A","Species-level","Species-level Classification","Present"
"Haemophilus parainfluenzae ","2,34409238125439",11,"Reference","A","Species-level","Species-level Classification","Present"
"Haemophilus pittmaniae ","2,33898085823705",12,"Reference","A","Species-level","Species-level Classification","Present"
"Klebsiella sp. KTE92","2,27173623773817",13,"Reference","A","Species-level","Species-level Classification","Present"
"Roseburia intestinalis","2,20364198070558",14,"Reference","A","Species-level","Species-level Classification","Present"
"Thermoanaerobacterium xylanolyticum ","2,09725926439565",15,"Reference","A","Species-level","Species-level Classification","Present"
"Neisseria mucosa ","2,0615060109044",16,"Reference","A","Species-level","Species-level Classification","Present"
"Neisseria meningitidis","2,05980673783697",17,"Reference","A","Species-level","Species-level Classification","Present"
"Streptococcus oralis ","1,9244678603055",18,"Reference","A","Species-level","Species-level Classification","Present"
"Eubacterium limosum","1,85126208025557",19,"Reference","A","Species-level","Species-level Classification","Present"
"Leuconostoc lactis","1,81637216711309",20,"Reference","A","Species-level","Species-level Classification","Present"
"Porphyromonas cangingivalis","1,72529661222506",21,"Reference","A","Species-level","Species-level Classification","Present"
"Corynebacterium falsenii ","1,70316495090334",22,"Reference","A","Species-level","Species-level Classification","Present"
"Leuconostoc mesenteroides","1,66316351474352",23,"Reference","A","Species-level","Species-level Classification","Present"
"Ruminococcus bicirculans","1,64188148995551",24,"Reference","A","Species-level","Species-level Classification","Present"
"Lachnoclostridium (Clostridium) symbiosum","1,59591889424464",25,"Reference","A","Species-level","Species-level Classification","Present"
"Bacillus sp. ","1,58910809815988",26,"Reference","A","Species-level","Species-level Classification","Present"
"Ruminococcus albus","1,5840102789576",27,"Reference","A","Species-level","Species-level Classification","Present"
"Corynebacterium camporealensis","1,56612680030444",28,"Reference","A","Species-level","Species-level Classification","Present"
"Enterococcus villorum ","1,55591745808483",29,"Reference","A","Species-level","Species-level Classification","Present"
"Lachnoclostridium (Clostridium) scindens","1,49974552015434",30,"Reference","A","Species-level","Species-level Classification","Present"
"Desulfovibrio sp. ","1,45718147057832",31,"Reference","A","Species-level","Species-level Classification","Present"
"Porphyromonas gingivalis","1,44952103795984",32,"Reference","A","Species-level","Species-level Classification","Present"
"Corynebacterium halotolerans","1,43250089965546",33,"Reference","A","Species-level","Species-level Classification","Present"
"Parabacteroides sp. HGS0025","1,39078648661315",34,"Reference","A","Species-level","Species-level Classification","Present"
"Atopobium sp. ","1,38398939434345",35,"Reference","A","Species-level","Species-level Classification","Present"
"Barnesiella intestinihominis","1,27844261075218",36,"Reference","A","Species-level","Species-level Classification","Present"
"Eubacterium sp.","1,08012099920545",37,"Reference","B","Species-level","Species-level Classification","Present"
"Corynebacterium accolens ","0,958403713843512",38,"Reference","A","Species-level","Species-level Classification","Present"
"Enterobacter asburiae","0,879250478057588",39,"Reference","A","Species-level","Species-level Classification","Present"
"Propionibacterium acidifaciens ","0,878400841523875",40,"Reference","A","Species-level","Species-level Classification","Present"
"Acholeplasma palmae","0,840948314965197",41,"Reference","A","Species-level","Species-level Classification","Present"
"Desulfohalovibrio reitneri ","0,836686428481571",42,"Reference","B","Species-level","Species-level Classification","Present"
"Oceanobacillus massiliensis","0,800933174990318",43,"Reference","A","Species-level","Species-level Classification","Present"
"Atopobium minutum","0,782213763618509",44,"Reference","A","Species-level","Species-level Classification","Present"
"Erysipelatoclostridium ramosum","0,766043261847839",45,"Reference","A","Species-level","Species-level Classification","Present"
"Alistipes communis","0,753271306212022",46,"Reference","A","Species-level","Species-level Classification","Present"
"Bacillus sp. JCM 19059     ","0,751572033144595",47,"Reference","A","Species-level","Species-level Classification","Present"
"Parabacteroides sp.","0,746460510127256",48,"Reference","A","Species-level","Species-level Classification","Present"
"Megasphaera sp.","0,724328848805534",49,"Reference","A","Species-level","Species-level Classification","Present"
"Klebsiella sp. AS10 ","0,723479212271821",50,"Reference","A","Species-level","Species-level Classification","Present"
"Neisseria macacae ","0,719231029603255",51,"Reference","A","Species-level","Species-level Classification","Present"
"Ruminococcus flavefaciens ","0,663045387857707",52,"Reference","A","Species-level","Species-level Classification","Present"
"Veillonella sp.","0,659646841722855",53,"Reference","A","Species-level","Species-level Classification","Present"
"Bifidobacterium asteroides","0,657947568655428",54,"Reference","A","Species-level","Species-level Classification","Present"
"Bacteroides salyersiae","0,638364816934846",55,"Reference","A","Species-level","Species-level Classification","Present"
"Ligilactobacillus agilis ","0,58559142513921",56,"Reference","A","Species-level","Species-level Classification","Present"
"Megasphaera micronuciformis","0,584741788605497",57,"Reference","A","Species-level","Species-level Classification","Present"
"Desulfovibrio brasiliensis","0,574532446385879",58,"Reference","A","Species-level","Species-level Classification","Present"
"Bacteroides acidifaciens","0,56942092336854",59,"Reference","A","Species-level","Species-level Classification","Present"
"Bacteroides intestinalis","0,549851875463018",60,"Reference","A","Species-level","Species-level Classification","Present"
"Acholeplasma modicum","0,537929556360914",61,"Reference","A","Species-level","Species-level Classification","Present"
"Bacteroides xylanisolvens","0,535380646759774",62,"Reference","A","Species-level","Species-level Classification","Present"
"Enterocloster citroniae ","0,52345832765767",63,"Reference","A","Species-level","Species-level Classification","Present"
"Sporobacter termitidis ","0,519210144989104",64,"Reference","A","Species-level","Species-level Classification","Present"
"Peptoniphilus vaginalis","0,497078483667382",65,"Reference","A","Species-level","Species-level Classification","Present"
"Parabacteroides sp. D13 ","0,485156164565278",66,"Reference","B","Species-level","Species-level Classification","Present"
"Propionibacterium cyclohexanicum","0,480907981896712",67,"Reference","A","Species-level","Species-level Classification","Present"
"Parabacteroides faecis","0,472397912744521",68,"Reference","A","Species-level","Species-level Classification","Present"
"Desulfovibrio sp. TomC ","0,465587116659755",69,"Reference","A","Species-level","Species-level Classification","Present"
"Porphyromonas sp. ","0,457926684041277",70,"Reference","A","Species-level","Species-level Classification","Present"
"Alistipes shahii","0,397492859627163",71,"Reference","A","Species-level","Species-level Classification","Present"
"Anaerococcus tetradius","0,374511561771728",72,"Reference","A","Species-level","Species-level Classification","Present"
"Ruminococcus sp. ","1,45020260183408",1,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Klebsiella pneumoniae ","1,98336532309661",2,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Paenibacillus macerans","3,6041799957347",3,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Klebsiella aerogenes ","0,55448923011303",4,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Klebsiella variicola","0,021326508850501",5,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Enterococcus pallens","1,57816165493709",6,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Parabacteroides merdae ","4,71315845596076",7,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Haemophilus aegyptius ","4,28662827895074",8,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Citrobacter sp. ","0,341224141608019",9,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Parabacteroides distasonis","2,19663041160162",10,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Haemophilus parainfluenzae ","0,490509703561527",11,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Haemophilus pittmaniae ","1,64214118148859",12,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Klebsiella sp. KTE92","1,96203881424611",13,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Roseburia intestinalis","1,8767327788441",14,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Thermoanaerobacterium xylanolyticum ","2,17530390275112",15,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Neisseria mucosa ","0,55448923011303",16,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Neisseria meningitidis","1,57816165493709",17,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Streptococcus oralis ","0,895713371721049",18,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Eubacterium limosum","1,02367242482406",19,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Leuconostoc lactis","1,49285561953508",20,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Porphyromonas cangingivalis","1,7701002345916",21,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Corynebacterium falsenii ","2,15397739390062",22,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Leuconostoc mesenteroides","0,874386862870548",23,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Ruminococcus bicirculans","1,13030496907656",24,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Lachnoclostridium (Clostridium) symbiosum","4,37193431435274",25,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Bacillus sp. ","1,36489656643208",26,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Ruminococcus albus","2,43122200895713",27,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Corynebacterium camporealensis","1,7487737257411",28,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Enterococcus villorum ","0,597142247814033",29,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Lachnoclostridium (Clostridium) scindens","2,02601834079761",30,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Desulfovibrio sp. ","1,66346769033909",31,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Porphyromonas gingivalis","1,51418212838558",32,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Corynebacterium halotolerans","1,30091703988057",33,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Parabacteroides sp. HGS0025","0,469183194711026",34,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Atopobium sp. ","0,426530177010023",35,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Barnesiella intestinihominis","2,55918106206014",36,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Eubacterium sp.","4,45724034975475",37,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Corynebacterium accolens ","0,405203668159522",38,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Enterobacter asburiae","0,042653017701002",39,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Propionibacterium acidifaciens ","0,874386862870548",40,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Acholeplasma palmae","0,767754318618042",41,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Desulfohalovibrio reitneri ","0,746427809767541",42,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Oceanobacillus massiliensis","0,277244615056515",43,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Atopobium minutum","0,511836212412028",44,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Erysipelatoclostridium ramosum","2,28193644700363",45,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Alistipes communis","0,490509703561527",46,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Bacillus sp. JCM 19059     ","2,06867135849861",47,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Parabacteroides sp.","2,08999786734911",48,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Megasphaera sp.","0,405203668159522",49,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Klebsiella sp. AS10 ","2,26060993815312",50,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Neisseria macacae ","0,533162721262529",51,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Ruminococcus flavefaciens ","1,40754958413308",52,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Veillonella sp.","0,319897632757518",53,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Bifidobacterium asteroides","0,789080827468543",54,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Bacteroides salyersiae","0,789080827468543",55,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Ligilactobacillus agilis ","0,55448923011303",56,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Megasphaera micronuciformis","1,7701002345916",57,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Desulfovibrio brasiliensis","0,703774792066539",58,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Bacteroides acidifaciens","0,575815738963532",59,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Bacteroides intestinalis","0,91703988057155",60,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Acholeplasma modicum","0,511836212412028",61,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Bacteroides xylanisolvens","4,84111750906377",62,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Enterocloster citroniae ","0,36255065045852",63,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Sporobacter termitidis ","0,597142247814033",64,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Peptoniphilus vaginalis","0,255918106206014",65,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Parabacteroides sp. D13 ","0,063979526551504",66,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Propionibacterium cyclohexanicum","0,447856685860525",67,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Parabacteroides faecis","2,26060993815312",68,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Desulfovibrio sp. TomC ","1,27959053103007",69,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Porphyromonas sp. ","0,746427809767541",70,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Alistipes shahii","1,57816165493709",71,"RiboTaxa","B","Species-level","Species-level Classification","Present"
"Anaerococcus tetradius","0,191938579654511",72,"RiboTaxa","B","Species-level","Species-level Classification","Present"
